Opportunity ID,Line Nbr.,Inventory ID,Year,Unit Price,Quantity,UOM,Ext. Price,Currency,Discount Amount,"Discount, %",Funded Program,Free Item,Tax Category_x,Business Account,Contact ID,Estimated Close Date,Status,Stage,Probability,Estimated amount,Amount received,Difference,Owner Name_x,Follow-up with_x,Class ID,Class_x,Source,Source Campaign,Campaign Name,Programme financé,Action financée,Agreement,Signature date of the agreement,Agreement expiry date,Duration of agreement (months),Deadline for submission of interim report,Final report deadline,Type de contrat,Type de financement,Zone SDLV,Theorical payment date 1,Theorical payment amount 1,Theorical payment date 2,Theorical payment amount 2,Theorical payment date 3,Theorical payment amount 3,Theorical payment date 4,Theorical payment amount 4,Theorical payment date 5,Theorical payment amount 5,Created On_x,Last Modified Date,Actual Close Date,Assignment Date,Branch ID,Description EN,Posting Class,Tax Category_y,Base Unit,Item Status,Created On_y,Last Modified On_x,Default Price,Type_x,Reference Nbr.,Customer,Amount,Date,ContactID,Active,Class_y,Class Name_x,Financing preference,Owner,Follow-up with_y,Postal Code_x,City_x,State_x,Code pays,Country Name_x,Gender,Client Source,Last Modified On_y,Created On_x.1,Customer Status,Type_y,Partner type,Class,Class Name_y,Activity sector,Parent Business Account,Owner Name_y,Follow-up with,Postal Code_y,City_y,State_y,Country ID,Country Name_y,Created On_y.1,Last Modified On,Apprenticeship tax,Sponsorship,Gala Lyon,JDLV Ceremony,Public Newsletter,Annual report,But en Or Paris,Gala Paris,But en Or Lyon,Olympics,But en Or Lille,Gala Lille,Jogg dans la ville,Tournament de Paris,Center inauguration,Tournament CVC,But en Or Marseille,Gala Londres,Gala New York,Entrepreuneur dans la Ville,Greetings,Gala Marseille,Call for Donations,But en Or St Etienne,Campus,Gala St Etienne,But en Or Londres,Gala Grenoble,But en Or Grenoble,Cluster,PROBS,CR,OUTLIERS
6102.0,1.0,MECENAT,2024.0,10000.0,1.0,PIECE,10000.0,EUR,0.0,0.0,Réussite dans la Ville,False,TVA0,C01257,,15/9/2023,Open,Initial Prospect,20.0,20000.0,1.0,-20000.0,29.0,,PPRIV MEC,Private partnership - Patronage,,,,Réussite dans la Ville,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,24:44.9,24:48.8,,22:47.7,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,36861.0,True,03PDG,DG,,29.0,,75017,PARIS,,FR,France,,,36:47.8,14:53.4,Active,Customer,Partner,01SIEGE,Headquarters,EDUCATION - RESEARCH - Education,,29.0,,75017,PARIS,,FR,France,10:41.0,22:05.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5104602510460251,-140.5554789646105,0
6101.0,1.0,MECENAT,2024.0,50000.0,1.0,PIECE,50000.0,EUR,0.0,0.0,Non specified,False,TVA0,C00276,,15/9/2023,New,Initial Prospect,20.0,150000.0,1.0,-150000.0,26.0,,PPRIV MEC,Private partnership - Patronage,,,,Non fléché,,False,,,,,,,Investissement,National,,,,,,,,,,,24:25.7,24:25.7,,21:43.2,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,35499.0,False,04FONDA,Foundation,"Sponsorship, Apprenticeship tax, Gala Lyon, Gala Grenoble, But en Or Lyon, But en Or Grenoble, Jogg dans la ville, Annual report",26.0,,69003,LYON,,FR,France,Female,,18:44.3,49:04.7,Active,Customer,Partner,02FONDA,Foundation,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",,26.0,,69003,LYON,,FR,France,36:25.8,21:15.1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,0.47619047619047616,0.4687702223300667,0
6100.0,1.0,MECENAT,2024.0,20000.0,1.0,PIECE,20000.0,EUR,0.0,0.0,Non specified,False,TVA0,C00110,,15/9/2023,New,Initial Prospect,20.0,60000.0,1.0,-60000.0,33.0,23.0,PPRIV MEC,Private partnership - Patronage,,,,Non fléché,,False,,,,,,,Investissement,National,,,,,,,,,,,19:59.5,32:51.5,,17:00.5,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,45590.0,True,01BUSIN,Business function,,26.0,21.0,42012,SAINT ETIENNE,,FR,France,,,48:46.6,48:27.2,Active,Customer,Major Partner,01SIEGE,Headquarters,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",,26.0,21.0,42012,SAINT ETIENNE,,FR,France,35:43.6,16:37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.7,0.25532835997611747,0
6099.0,1.0,MECENAT,2024.0,300000.0,1.0,PIECE,300000.0,EUR,0.0,0.0,Non specified,False,TVA0,C06931,,15/9/2023,Open,Initial Prospect,20.0,300000.0,1.0,-300000.0,15.0,,PPRIV MEC,Private partnership - Patronage,,,,Festival 24,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,19:33.8,52:34.9,,18:21.0,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,41936.0,True,06RSE,CSR,,4.0,,94250,GENTILLY,,FR,France,,,11:33.8,11:33.8,Active,Customer,Partner,01SIEGE,Headquarters,INDUSTRIES - Chemical industry,,15.0,,94250,GENTILLY,,FR,France,10:27.8,17:56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.47619047619047616,0.4687702223300667,0
6098.0,1.0,MECENAT,2024.0,300000.0,1.0,PIECE,300000.0,EUR,0.0,0.0,Non specified,False,TVA0,C01180,41004.0,15/9/2023,Open,Oral agreement,80.0,300000.0,1.0,-300000.0,15.0,,PPRIV MEC,Private partnership - Patronage,,,,Festival 24,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,17:03.9,52:50.6,,16:00.9,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,36395.0,True,01BUSIN,Business function,"Sponsorship, Apprenticeship tax, But en Or Paris, Jogg dans la ville, Olympics, Annual report, Center inauguration",15.0,13.0,75008,PARIS,,FR,France,Male,,50:58.3,54:31.1,Active,Customer,Major Partner,01SIEGE,Headquarters,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",,15.0,,75008,PARIS,,FR,France,54:50.1,15:52.0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.7,0.25532835997611747,0
6097.0,1.0,MECENAT,2024.0,150000.0,1.0,PIECE,150000.0,EUR,0.0,0.0,Non specified,False,TVA0,C00696,41792.0,15/9/2023,Open,Initial Prospect,20.0,150000.0,1.0,-150000.0,15.0,,PPRIV MEC,Private partnership - Patronage,,,,Festival 24,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,14:32.4,53:34.3,,13:13.8,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,36355.0,True,04FONDA,Foundation,Apprenticeship tax,15.0,,1260,NYON,,CH,Switzerland,Female,,57:44.2,54:24.9,Active,Customer,Partner,02FONDA,Foundation,SPORTS,,15.0,,1260,NYON,,CH,Switzerland,37:49.1,12:57.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.47619047619047616,0.4687702223300667,0
6096.0,1.0,MECENAT,2024.0,50000.0,1.0,PIECE,50000.0,EUR,0.0,0.0,Non specified,False,TVA0,C00682,,15/9/2023,New,Advanced Prospect,40.0,50000.0,1.0,-50000.0,26.0,,PPRIV MEC,Private partnership - Patronage,,,,Festival 24,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,12:32.1,54:01.9,,10:42.6,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,45760.0,True,03PDG,DG,"Sponsorship, Apprenticeship tax, Gala Paris, Gala Londres, Gala New York, But en Or Paris, But en Or Londres, Tournament de Paris, JDLV Ceremony, Annual report, Greetings",37.0,26.0,75008,PARIS,,FR,France,Female,,30:19.9,28:57.1,Active,Customer,Partner,01SIEGE,Headquarters,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",,37.0,26.0,75008,PARIS,,FR,France,37:46.4,10:27.2,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,90,0.0,0.9999566676166456,0
6095.0,1.0,MECENAT,2024.0,300000.0,1.0,PIECE,300000.0,EUR,0.0,0.0,Job dans la Ville,False,TVA0,C06761,47439.0,15/9/2023,Open,Initial Prospect,20.0,300000.0,1.0,-300000.0,15.0,25.0,PPRIV MEC,Private partnership - Patronage,,,,Job dans la Ville,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,11:11.6,11:14.4,,09:25.1,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,47439.0,True,04FONDA,Foundation,,15.0,25.0,75886,PARIS CEDEX 18,,FR,France,,,09:00.2,09:00.2,Active,Customer,Major Partner,02FONDA,Foundation,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",C00640,15.0,25.0,75886,PARIS CEDEX 18,,FR,France,09:59.9,07:21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.7,0.25532835997611747,0
6094.0,1.0,MECENAT,2024.0,20000.0,1.0,PIECE,20000.0,EUR,0.0,0.0,Non specified,False,TVA0,C01629,,15/9/2023,New,Advanced Prospect,40.0,20000.0,1.0,-20000.0,26.0,,PPRIV MEC,Private partnership - Patronage,,,,Job dans la Ville,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,05:43.3,05:43.3,,04:49.9,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,46394.0,True,01BUSIN,Business function,"Tournament CVC, Annual report, Greetings",7.0,,,,,FR,France,Male,,53:52.9,53:52.9,Active,Customer,Partner,02FONDA,Foundation,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",C00047,37.0,,75001,PARIS,,FR,France,02:35.2,04:11.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0.16129032258064516,0.9999080995053554,0
6093.0,1.0,MECENAT,2024.0,30000.0,1.0,PIECE,30000.0,EUR,0.0,0.0,Non specified,False,TVA0,C15037,44983.0,15/9/2023,Open,Initial Prospect,20.0,30000.0,1.0,-30000.0,15.0,,PPRIV MEC,Private partnership - Patronage,,,,Non fléché,,False,,,,,,,Fonctionnement,National,,,,,,,,,,,04:56.9,05:00.4,,03:37.2,SDLV,Sponsorship,MECENAT,TVA0,PIECE,Active,59:03.9,39:46.2,0.0,,,,,,44983.0,True,,,,,,92981,Paris La Défense Cedex,,FR,France,,,06:39.0,06:39.0,Active,Customer,Partner,01SIEGE,Headquarters,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",,15.0,,92981,Paris La Défense Cedex,,FR,France,06:38.4,54:43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0.16129032258064516,0.9999080995053554,0
